run,tasks_per_worker,total_assigned,mean,stddev,fairness_variance_pct,elapsed_ms
1,"{'fair_w1': 10, 'fair_w2': 10}",20,10,0.0,0.0,0.13
2,"{'fair_w1': 10, 'fair_w2': 10}",20,10,0.0,0.0,0.12
3,"{'fair_w1': 10, 'fair_w2': 10}",20,10,0.0,0.0,0.11
4,"{'fair_w1': 10, 'fair_w2': 10}",20,10,0.0,0.0,0.13
5,"{'fair_w1': 10, 'fair_w2': 10}",20,10,0.0,0.0,0.6
6,"{'fair_w1': 10, 'fair_w2': 10}",20,10,0.0,0.0,0.64
7,"{'fair_w1': 10, 'fair_w2': 10}",20,10,0.0,0.0,0.14
8,"{'fair_w1': 10, 'fair_w2': 10}",20,10,0.0,0.0,0.11
9,"{'fair_w1': 10, 'fair_w2': 10}",20,10,0.0,0.0,0.11
10,"{'fair_w1': 10, 'fair_w2': 10}",20,10,0.0,0.0,0.13
